Date,Open,High,Low,Close,Volume,Market Cap,EMA10,EMA30,ATR
2013-04-29,134.44,147.49,134.0,144.54,0.0,1603768865.0,144.54,144.54,13.490000000000009
2013-04-30,144.0,146.93,134.05,139.0,0.0,1542813125.0,143.53272727272727,144.1825806451613,13.44642857142858
2013-05-01,139.0,139.89,107.72,116.99,0.0,1298954594.0,138.70677685950412,142.42822060353797,14.783826530612252
2013-05-02,116.38,125.6,92.28,105.21,0.0,1168517495.0,132.61645379413972,140.02704508072907,16.107838921282806
2013-05-03,106.25,108.13,79.1,97.75,0.0,1085995169.0,126.27709855884157,137.29949378519817,17.030850426905463
2013-05-04,98.1,115.0,92.5,112.5,0.0,1250316563.0,123.77217154814309,135.69952644421764,17.42150396784079
2013-05-05,112.9,118.8,107.14,115.91,0.0,1288693176.0,122.34268581211707,134.4227828026552,17.009967970137875
2013-05-06,115.98,124.66,106.64,112.3,0.0,1249023060.0,120.51674293718669,132.9955064928065,17.082113115128028
2013-05-07,112.25,113.44,97.7,111.5,0.0,1240593600.0,118.87733513042548,131.60869962230285,16.986247892618884
2013-05-08,109.6,115.78,109.6,113.57,0.0,1264049202.0,117.91236510671175,130.44491254989623,16.214373043146107
2013-05-09,113.2,113.46,109.26,112.67,0.0,1254535382.0,116.95920781458233,129.29814399829004,15.364060682921384
2013-05-10,112.8,122.0,111.55,117.2,0.0,1305479080.0,117.002988211931,128.51761857904552,15.013056348427
2013-05-11,117.7,118.68,113.01,115.24,0.0,1284207489.0,116.68244490067082,127.66099802555873,14.345695180682213
2013-05-12,115.64,117.45,113.43,115.0,0.0,1281982625.0,116.37654582782157,126.84415944326463,13.608145524919198
2013-05-13,114.82,118.7,114.5,117.98,0.0,1315710011.0,116.66808295003582,126.27227818886047,12.936135130282114
2013-05-14,117.98,119.8,110.25,111.5,0.0,1243874488.0,115.72843150457476,125.31922798312753,12.694268335261963
2013-05-15,111.4,115.81,103.5,114.22,0.0,1274623813.0,115.4541712310157,124.60314875840965,12.666820597028966
2013-05-16,114.22,118.76,112.2,118.76,0.0,1325726787.0,116.05523100719466,124.22617141915741,12.230619125812611
2013-05-17,118.21,125.3,116.57,123.01,0.0,1373723882.0,117.31973446043199,124.14770874695371,11.980574902540283
2013-05-18,123.5,125.25,122.3,123.5,0.0,1379574546.0,118.4434191039898,124.10592108585993,11.33553383807312
2013-05-19,123.21,124.5,119.57,121.99,0.0,1363204703.0,119.08825199417348,123.96941004806253,10.877995706782183
2013-05-20,122.5,123.62,120.12,122.0,0.0,1363709900.0,119.61766072250556,123.8423513352843,10.350996013440598
2013-05-21,122.02,123.0,121.21,122.88,0.0,1374013440.0,120.21081331841364,123.78026415236273,9.739496298194842
2013-05-22,122.89,124.0,122.0,123.89,0.0,1385778993.0,120.87975635142934,123.78734388446837,9.186675134038067
2013-05-23,123.8,126.93,123.1,126.7,0.0,1417769833.0,121.93798246935128,123.9752571822446,8.804055481606778
2013-05-24,126.3,133.85,125.72,133.2,0.0,1491070770.0,123.98562202037832,124.57040188016431,8.755908661492008
2013-05-25,133.1,133.22,128.9,131.98,0.0,1477958233.0,125.43914528940043,125.04844046854082,8.439058042814006
2013-05-26,131.99,136.0,130.62,133.48,0.0,1495293015.0,126.90111887314579,125.5924120512156,8.22055389689872
2013-05-27,133.5,135.46,124.7,129.74,0.0,1454029510.0,127.41727907802837,125.85999837049202,8.401942904263098
2013-05-28,129.77,130.58,125.6,129.0,0.0,1446189975.0,127.70504651838684,126.06257912078287,8.15751841110145
2013-05-29,129.0,132.59,127.66,132.3,0.0,1483734578.0,128.54049260595286,126.46499337105494,7.926981381737061
2013-05-30,132.25,132.25,127.0,128.8,0.0,1445053941.0,128.58767576850687,126.61563896001915,7.739339854470129
2013-05-31,128.8,129.9,126.4,129.0,0.0,1447870200.0,128.66264381059653,126.76946870453406,7.436529864865119
2013-06-01,128.82,129.78,127.2,129.3,0.0,1451916165.0,128.77852675412444,126.93272878811251,7.0896348745176105
2013-06-02,129.3,129.4,115.05,122.29,0.0,1373837500.0,127.5987946170109,126.63319789855687,7.608232383480639
2013-06-03,122.5,122.5,116.0,122.22,0.0,1373708058.0,126.62083195937254,126.3484754534887,7.529072927517737
2013-06-04,120.74,123.84,119.1,121.42,0.0,1365337545.0,125.67522614857752,126.03050929519911,7.3298534326950415
2013-06-05,121.4,123.47,119.9,121.65,0.0,1368486469.0,124.94336684883615,125.74789579228305,7.061292473216825
2013-06-06,121.9,123.1,117.25,118.0,0.0,1327960200.0,123.68093651268411,125.24803154761963,6.974771582272766
2013-06-07,118.97,119.0,106.42,111.5,0.0,1255258638.0,121.46622078310517,124.36106177035386,7.375145040681854
2013-06-08,111.0,111.42,107.3,108.3,0.0,1219717920.0,119.07236245890422,123.32486423678264,7.148348966347436
2013-06-09,107.89,108.99,88.5,100.0,0.0,1126642500.0,115.60466019364891,121.82003428602248,8.101324040179762
2013-06-10,100.44,110.1,95.0,106.35,0.0,1198638945.0,113.92199470389457,120.821967557892,8.601229465881207
2013-06-11,106.35,109.6,104.0,108.9,0.0,1227874725.0,113.00890475773191,120.05280836060865,8.386855932603979
2013-06-12,109.0,111.79,106.73,108.15,0.0,1219969853.0,112.12546752905337,119.2848852405694,8.149223365989409
2013-06-13,108.78,110.3,100.53,104.0,0.0,1173637400.0,110.6481097964982,118.29876361214556,8.264993125561594
2013-06-14,103.95,104.7,98.0,99.98,0.0,1128709292.0,108.70845346986215,117.11690789523296,8.153207902307194
2013-06-15,100.0,103.7,98.0,99.99,0.0,1129245604.0,107.12328011170538,116.01194609554051,7.97797876642811
2013-06-16,99.8,101.6,98.95,99.51,0.0,1124306272.0,105.73904736412258,114.94730441195726,7.5974088545403875
2013-06-17,99.9,102.21,99.0,101.7,0.0,1149418485.0,105.00467511610029,114.09263961118583,7.284022507787503
2013-06-18,101.95,111.11,101.03,107.4,0.0,1214216070.0,105.44018873135478,113.66085641046416,7.483735185802681
2013-06-19,107.05,110.22,105.75,108.25,0.0,1224193838.0,105.95106350747209,113.31176890011164,7.268468386816775
2013-06-20,108.25,114.3,107.5,110.15,0.0,1246104920.0,106.71450650611352,113.10778380978186,7.235006359187006
2013-06-21,111.29,114.99,107.68,109.5,0.0,1239214238.0,107.22095986863833,112.87502356398949,7.240363047816504
2013-06-22,109.5,109.96,107.51,108.3,0.0,1226110328.0,107.41714898343135,112.57986075340952,6.898194258686753
